Wall time,Step,Value
1689516955.673954,1,0.4967615008354187
1689516988.8035963,2,0.32990482449531555
1689517022.021108,3,0.29695022106170654
1689517055.843857,4,0.2503017485141754
1689517090.4299219,5,0.24846766889095306
1689517123.432129,6,0.2110208421945572
1689517157.0178666,7,0.207242950797081
1689517190.624795,8,0.2115296572446823
1689517223.3691843,9,0.19156509637832642
1689517260.5944982,10,0.20757454633712769
1689517297.1971602,11,0.1486690640449524
1689517332.9876947,12,0.12469357997179031
1689517369.6513586,13,0.11029479652643204
1689517404.7405982,14,0.09936725348234177
1689517439.339973,15,0.10478592664003372
1689517473.926364,16,0.09660583734512329
1689517510.1375244,17,0.09510977566242218
1689517544.6915245,18,0.0954718366265297
1689517579.090053,19,0.0749301165342331
1689517612.69693,20,0.08573698997497559
1689517647.8446813,21,0.08132683485746384
1689517681.8635964,22,0.08378543704748154
1689517716.5199428,23,0.07552607357501984
1689517754.206151,24,0.07520618289709091
1689517788.011399,25,0.084976427257061
1689517821.9571867,26,0.08411651104688644
1689517855.2570975,27,0.06895487010478973
1689517889.2406602,28,0.0818382278084755
1689517923.5696707,29,0.07909627258777618
1689517958.03061,30,0.0710214301943779
